municipio,region,fecha,temperatura_minima,temperatura_maxima,temperatura_promedio,humedad,probabilidad_lluvia,lluvia_acumulada,velocidad_viento,radiacion_uv,condicion_climatica,altitud,temporada,riesgo_sequia,riesgo_exceso_humedad,riesgo_helada,recomendacion_riego
Xalapa,Capital,2026-01-01,9.8,22.7,16.0,69.8,6.0,46.6,29.4,3.4,despejado,1420,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Xalapa,Capital,2026-02-01,12.9,21.8,17.0,69.2,6.2,32.4,23.6,5.7,despejado,1420,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Xalapa,Capital,2026-03-01,11.3,24.5,17.7,75.1,28.6,19.3,16.2,5.1,despejado,1420,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Xalapa,Capital,2026-04-01,13.5,26.5,20.0,67.9,18.5,67.2,27.4,9.1,despejado,1420,seca,bajo,bajo,bajo,mantener riego segun humedad del suelo
Xalapa,Capital,2026-05-01,15.2,28.2,21.7,84.8,93.9,183.5,28.7,8.0,lluvia,1420,lluvias,bajo,medio,bajo,mantener riego segun humedad del suelo
Xalapa,Capital,2026-06-01,16.5,25.7,20.7,83.3,56.8,211.3,10.4,5.9,lluvia,1420,lluvias,bajo,alto,bajo,mejorar drenaje y evitar riego adicional
Xalapa,Capital,2026-07-01,15.7,28.2,20.5,84.7,69.6,199.9,23.6,8.3,lluvia,1420,lluvias,bajo,medio,bajo,mantener riego segun humedad del suelo
Xalapa,Capital,2026-08-01,14.1,27.6,21.1,82.6,84.2,123.2,21.4,8.8,lluvia,1420,lluvias,bajo,medio,bajo,mantener riego segun humedad del suelo
Xalapa,Capital,2026-09-01,12.9,22.9,17.8,83.3,86.0,234.1,13.1,10.6,lluvia,1420,lluvias,bajo,alto,bajo,mejorar drenaje y evitar riego adicional
Xalapa,Capital,2026-10-01,12.4,25.0,19.1,87.6,67.6,239.6,14.4,5.7,lluvia,1420,lluvias,bajo,alto,bajo,mejorar drenaje y evitar riego adicional
Xalapa,Capital,2026-11-01,13.2,23.3,18.4,72.8,15.5,41.5,31.9,5.5,despejado,1420,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Xalapa,Capital,2026-12-01,11.1,23.1,17.5,68.1,6.9,10.9,9.5,4.9,despejado,1420,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Coatepec,Capital,2026-01-01,15.3,26.2,19.3,80.7,26.2,69.7,24.4,5.7,nublado,1250,seca,bajo,bajo,bajo,mantener riego segun humedad del suelo
Coatepec,Capital,2026-02-01,12.4,25.6,17.8,72.1,30.6,22.3,29.0,4.3,despejado,1250,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Coatepec,Capital,2026-03-01,16.9,28.4,21.8,80.1,12.1,37.5,22.6,5.1,nublado,1250,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Coatepec,Capital,2026-04-01,18.6,27.9,22.6,78.8,26.6,54.6,8.5,10.5,nublado,1250,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Coatepec,Capital,2026-05-01,14.3,28.7,20.9,88.1,88.3,240.0,10.1,7.4,lluvia,1250,lluvias,bajo,alto,bajo,mejorar drenaje y evitar riego adicional
Coatepec,Capital,2026-06-01,15.7,27.4,21.2,92.7,85.4,106.4,14.4,10.1,nublado,1250,lluvias,bajo,bajo,bajo,mantener riego segun humedad del suelo
Coatepec,Capital,2026-07-01,18.7,28.6,23.3,90.4,63.5,164.8,31.9,8.5,lluvia,1250,lluvias,bajo,medio,bajo,mantener riego segun humedad del suelo
Coatepec,Capital,2026-08-01,16.5,27.9,21.5,86.2,75.7,167.3,13.5,5.5,lluvia,1250,lluvias,bajo,medio,bajo,mantener riego segun humedad del suelo
Coatepec,Capital,2026-09-01,15.4,26.2,22.0,87.3,80.2,106.7,13.7,8.7,nublado,1250,lluvias,bajo,bajo,bajo,mantener riego segun humedad del suelo
Coatepec,Capital,2026-10-01,15.3,27.9,20.8,94.4,60.3,130.3,27.4,5.3,lluvia,1250,lluvias,bajo,medio,bajo,mantener riego segun humedad del suelo
Coatepec,Capital,2026-11-01,11.7,24.6,17.9,75.2,22.2,11.3,31.6,3.5,despejado,1250,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Coatepec,Capital,2026-12-01,12.5,22.9,17.1,79.6,18.6,31.2,18.1,4.4,nublado,1250,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Cordoba,Montanas,2026-01-01,15.6,25.5,21.3,73.4,41.9,21.2,32.0,7.2,despejado,860,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Cordoba,Montanas,2026-02-01,13.3,23.7,18.8,77.5,42.1,68.0,17.6,3.3,nublado,860,seca,bajo,bajo,bajo,mantener riego segun humedad del suelo
Cordoba,Montanas,2026-03-01,18.2,29.2,23.5,71.7,44.4,29.6,31.0,11.0,despejado,860,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Cordoba,Montanas,2026-04-01,16.9,30.1,23.8,70.5,33.7,41.1,21.0,9.2,despejado,860,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Cordoba,Montanas,2026-05-01,21.3,33.6,25.8,88.0,78.4,104.4,9.9,5.3,nublado,860,lluvias,bajo,bajo,bajo,mantener riego segun humedad del suelo
Cordoba,Montanas,2026-06-01,16.5,28.1,23.1,85.4,82.0,193.2,22.3,8.3,lluvia,860,lluvias,bajo,medio,bajo,mantener riego segun humedad del suelo
Cordoba,Montanas,2026-07-01,21.5,32.9,26.1,88.2,78.3,164.2,13.7,6.8,lluvia,860,lluvias,bajo,medio,bajo,mantener riego segun humedad del suelo
Cordoba,Montanas,2026-08-01,21.2,31.2,25.4,86.2,67.0,205.8,32.0,11.0,lluvia,860,lluvias,bajo,medio,bajo,mantener riego segun humedad del suelo
Cordoba,Montanas,2026-09-01,17.4,31.6,24.1,85.7,63.5,107.1,16.9,5.1,nublado,860,lluvias,bajo,bajo,bajo,mantener riego segun humedad del suelo
Cordoba,Montanas,2026-10-01,18.3,28.3,24.3,89.1,83.1,232.6,27.6,6.1,lluvia,860,lluvias,bajo,alto,bajo,mejorar drenaje y evitar riego adicional
Cordoba,Montanas,2026-11-01,14.3,24.8,18.6,70.3,42.6,48.1,14.5,6.0,despejado,860,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Cordoba,Montanas,2026-12-01,13.7,26.8,19.2,75.3,13.1,51.6,28.3,3.5,despejado,860,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Orizaba,Montanas,2026-01-01,13.1,24.0,19.0,68.0,16.1,32.5,25.8,5.8,despejado,1236,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Orizaba,Montanas,2026-02-01,12.7,25.6,19.4,68.8,5.4,32.8,28.0,5.9,despejado,1236,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Orizaba,Montanas,2026-03-01,15.5,29.4,21.9,71.1,10.1,14.6,29.6,5.5,despejado,1236,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Orizaba,Montanas,2026-04-01,18.7,30.4,23.9,75.8,9.1,21.2,11.7,10.5,despejado,1236,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Orizaba,Montanas,2026-05-01,19.8,30.8,23.9,90.1,94.0,237.7,16.0,10.5,lluvia,1236,lluvias,bajo,alto,bajo,mejorar drenaje y evitar riego adicional
Orizaba,Montanas,2026-06-01,15.3,26.1,21.7,90.1,89.6,227.4,28.9,10.0,lluvia,1236,lluvias,bajo,alto,bajo,mejorar drenaje y evitar riego adicional
Orizaba,Montanas,2026-07-01,15.4,26.7,21.8,86.6,87.7,131.7,8.6,5.4,lluvia,1236,lluvias,bajo,medio,bajo,mantener riego segun humedad del suelo
Orizaba,Montanas,2026-08-01,15.8,27.3,21.7,91.7,89.6,149.2,31.5,7.8,lluvia,1236,lluvias,bajo,medio,bajo,mantener riego segun humedad del suelo
Orizaba,Montanas,2026-09-01,12.5,24.4,19.3,91.7,59.6,250.0,10.6,7.0,lluvia,1236,lluvias,bajo,alto,bajo,mejorar drenaje y evitar riego adicional
Orizaba,Montanas,2026-10-01,15.4,26.8,20.5,88.1,67.5,215.2,14.1,9.0,lluvia,1236,lluvias,bajo,alto,bajo,mejorar drenaje y evitar riego adicional
Orizaba,Montanas,2026-11-01,12.6,25.5,18.8,73.4,42.0,5.1,16.7,3.3,despejado,1236,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Orizaba,Montanas,2026-12-01,13.1,24.5,19.3,71.1,18.2,48.2,15.4,5.0,despejado,1236,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Veracruz,Sotavento,2026-01-01,17.9,31.4,24.7,66.3,16.8,31.2,29.7,6.1,despejado,10,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Veracruz,Sotavento,2026-02-01,18.9,30.6,24.2,65.0,26.9,24.6,23.7,5.3,despejado,10,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
Veracruz,Sotavento,2026-03-01,22.6,33.6,28.9,69.7,13.5,33.7,10.0,7.6,despejado,10,seca,medio,bajo,bajo,mantener riego segun humedad del suelo
