municipio,region,tipo_cultivo,etapa_cultivo,temperatura,humedad_ambiental,probabilidad_lluvia,lluvia_acumulada,velocidad_viento,radiacion_uv,humedad_suelo,tipo_suelo,ultimo_riego,dias_desde_siembra,historial_plagas,temporada_ano,altitud_aproximada,requiere_riego,riesgo_plaga,riesgo_climatico,cultivo_recomendado_zona,prioridad_alerta,recomendacion_agricola
Xalapa,Capital,Cafe,siembra,16.0,69.8,6.0,46.6,29.4,3.4,48.57,franco_humifero,5,18,alto,seca,1420,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Tomate,siembra,16.0,69.8,6.0,46.6,29.4,3.4,48.57,franco,2,18,alto,seca,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,siembra,16.0,69.8,6.0,46.6,29.4,3.4,48.57,franco,1,18,alto,seca,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,siembra,16.0,69.8,6.0,46.6,29.4,3.4,48.57,arenoso_franco,4,18,alto,seca,1420,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Aguacate,siembra,16.0,69.8,6.0,46.6,29.4,3.4,48.57,franco,6,18,alto,seca,1420,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cilantro,siembra,16.0,69.8,6.0,46.6,29.4,3.4,48.57,franco,1,18,alto,seca,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,siembra,16.0,69.8,6.0,46.6,29.4,3.4,48.57,franco,2,18,alto,seca,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,siembra,16.0,69.8,6.0,46.6,29.4,3.4,48.57,arenoso_franco,3,18,alto,seca,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cafe,siembra,17.0,69.2,6.2,32.4,23.6,5.7,45.8,franco_humifero,5,36,alto,seca,1420,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Tomate,siembra,17.0,69.2,6.2,32.4,23.6,5.7,45.8,franco,2,36,alto,seca,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,siembra,17.0,69.2,6.2,32.4,23.6,5.7,45.8,franco,1,36,alto,seca,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,siembra,17.0,69.2,6.2,32.4,23.6,5.7,45.8,arenoso_franco,4,36,alto,seca,1420,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Aguacate,siembra,17.0,69.2,6.2,32.4,23.6,5.7,45.8,franco,6,36,alto,seca,1420,no,alto,bajo,Aguacate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cilantro,siembra,17.0,69.2,6.2,32.4,23.6,5.7,45.8,franco,1,36,alto,seca,1420,no,alto,bajo,Cilantro,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Acelga,siembra,17.0,69.2,6.2,32.4,23.6,5.7,45.8,franco,2,36,alto,seca,1420,no,alto,bajo,Acelga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Zanahoria,siembra,17.0,69.2,6.2,32.4,23.6,5.7,45.8,arenoso_franco,3,36,alto,seca,1420,no,alto,bajo,Zanahoria,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Cafe,crecimiento,17.7,75.1,28.6,19.3,16.2,5.1,45.51,franco_humifero,6,54,alto,seca,1420,no,alto,bajo,Cafe,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Tomate,crecimiento,17.7,75.1,28.6,19.3,16.2,5.1,45.51,franco,3,54,alto,seca,1420,no,alto,bajo,Tomate,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Lechuga,crecimiento,17.7,75.1,28.6,19.3,16.2,5.1,45.51,franco,2,54,alto,seca,1420,no,alto,bajo,Lechuga,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
Xalapa,Capital,Papa,crecimiento,17.7,75.1,28.6,19.3,16.2,5.1,45.51,arenoso_franco,5,54,alto,seca,1420,no,alto,bajo,Papa,alta,Revisar enves de hojas y aplicar manejo integrado de plagas.
